ident(String),type(String),name(String),elevation_ft(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String)
SIIG,small_airport,Eliza Camargo de Arruda Botelho Airport,1756.0,SA,BR,BR-SP,Rancharia,SIIG,
SIIH,heliport,Torre 2000 Heliport,2743.0,SA,BR,BR-SP,S茫o Paulo,SIIH,
SIII,small_airport,Doutor Her谩clito da Motta Luiz Airport,1798.0,SA,BR,BR-SP,Gua铆ra,SIII,
SIIK,small_airport,Fazenda Santa L铆dia Airport,1811.0,SA,BR,BR-MS,Ribas Do Rio Pardo,SIIK,
SIIL,heliport,Ilha da Jip贸ia Heliport,190.0,SA,BR,BR-RJ,Angra Dos Reis,SIIL,
SIIM,small_airport,Fazenda Giru谩 Airport,1408.0,SA,BR,BR-MS,Rio Verde Do Mato Grosso,SIIM,
SIIN,small_airport,Independ锚ncia Airport,951.0,SA,BR,BR-PA,Itaituba,SIIN,
SIIO,heliport,Itaorna Heliport,157.0,SA,BR,BR-RJ,Angra Dos Reis,SIIO,
SIIP,heliport,Quinta da Baroneza Heliport,2487.0,SA,BR,BR-SP,Bragan莽a Paulista,SIIP,
SIIQ,small_airport,Fazenda Aracoxim Airport,2198.0,SA,BR,BR-MS,Sonora,SIIQ,
SIIR,heliport,Brascam Century Plaza Heliport,2761.0,SA,BR,BR-SP,S茫o Paulo,SIIR,
SIIS,small_airport,Fazenda Uberaba Airport,1100.0,SA,BR,BR-PR,Vila Alta,SIIS,
SIIU,small_airport,Santa Marta Airport,2218.0,SA,BR,BR-MG,Campo Florido,SIIU,
SIIW,heliport,TECNET 2 Heliport,2899.0,SA,BR,BR-SP,Santana Do Parna铆ba,SIIW,
SIIX,small_airport,Fazenda C贸rrego Fundo Airport,1207.0,SA,BR,BR-MT,脕gua Boa,SIIX,
SIIY,heliport,Brasil XXI Heliport,3901.0,SA,BR,BR-DF,Bras铆lia,SIIY,
SIIZ,small_airport,Fazenda Chalana Airport,2001.0,SA,BR,BR-MT,Diamantino,SIIZ,
SIJB,heliport,Jambo Heliport,72.0,SA,BR,BR-CE,Trairi,SIJB,
SIJC,heliport,Hotel Campos do Jord茫o Heliport,5381.0,SA,BR,BR-SP,Campos Do Jord茫o,SIJC,
SIJD,heliport,Jo茫o Dias Heliport,2520.0,SA,BR,BR-SP,S茫o Paulo,SIJD,
SIJE,small_airport,Fazenda Joana Est茫ncia Airport,476.0,SA,BR,BR-MS,Corumb谩,SIJE,
SIJF,heliport,Edif铆cio Faria Lima Financial Center Heliport,2693.0,SA,BR,BR-SP,S茫o Paulo,SIJF,
SIJG,small_airport,Fazenda Jaguaret锚 Airport,1290.0,SA,BR,BR-SP,Guararapes,SIJG,
SIJH,heliport,Cosipa Heliport,20.0,SA,BR,BR-SP,Cubat茫o,SIJH,
SIJI,heliport,Petrobr谩s - S茫o Jos茅 dos Campos Heliport,2051.0,SA,BR,BR-SP,S茫o Jos茅 Dos Campos,SIJI,
SIJJ,small_airport,Fazenda Salamanca Airport,1181.0,SA,BR,BR-MS,Aral Moreira,SIJJ,
SIJK,small_airport,Vazante Airport,2457.0,SA,BR,BR-MG,Vazante,SIJK,
SIJL,heliport,Cimento Tupi Heliport,1320.0,SA,BR,BR-RJ,Volta Redonda,SIJL,
SIJM,small_airport,Fazenda Santa Maria do Porto da Capivara Airport,328.0,SA,BR,BR-MT,Bar茫o De Melga莽o,SIJM,
SIJN,small_airport,Pouso na Serra Airport,2881.0,SA,BR,BR-SC,Bom Retiro,SIJN,SIJN
SIJO,small_airport,Fazenda S茫o Jo茫o do Jatobazinho Airport,381.0,SA,BR,BR-MS,Corumb谩,SIJO,SIJO
SIJP,heliport,Bolsa Heliport,161.0,SA,BR,BR-RJ,Rio De Janeiro,SIJP,
SIJQ,closed,Ryhad Palace Hotel Heliport,3081.0,SA,BR,BR-PR,Arauc谩ria,,
SIJR,small_airport,Ely Rego Airport,2592.0,SA,BR,BR-PR,Balsa Nova,SIJR,
SIJS,small_airport,Fazenda Tonga Airport,561.0,SA,BR,BR-PA,Paragominas,SIJS,SIJS
SIJT,heliport,Mina 3 Heliport,66.0,SA,BR,BR-RJ,Campos Dos Goytacazes,SIJT,
SIJU,small_airport,Fazenda Areia Branca Airport,1073.0,SA,BR,BR-MT,Ju铆na,SIJU,
SIJV,small_airport,Fazenda Santa Julieta Airport,1394.0,SA,BR,BR-SP,Promiss茫o,SIJV,SIJV
SIJW,heliport,Hospital e Maternidade Santa Marina Heliport,2710.0,SA,BR,BR-SP,S茫o Paulo,SIJW,
SIJX,heliport,Internacional Plaza Heliport,2615.0,SA,BR,BR-SP,S茫o Paulo,SIJX,
SIJY,small_airport,Itaja铆/Campo Comandantes Airport,33.0,SA,BR,BR-SC,Itaja铆,SIJY,SIJY
SIJZ,small_airport,Fazenda Vera Paz Airport,801.0,SA,BR,BR-PA,Itaituba,SIJZ,
SIKA,small_airport,Fazenda Alegria II Airport,1191.0,SA,BR,BR-MS,Amambai,SIKA,SIKA
SIKB,heliport,Kekafly I Heliport,129.0,SA,BR,BR-SC,Brusque,SIKB,SIKB
SIKC,small_airport,Colider Airport,1266.0,SA,BR,BR-MT,Colider,SIKC,
SIKD,heliport,Sodepa Heliport,2402.0,SA,BR,BR-SP,S茫o Paulo,SIKD,
SIKE,heliport,Wobben Windpower Heliport,200.0,SA,BR,BR-CE,Caucaia,SIKE,
SIKF,heliport,Plaza Iguatemi Heliport,2722.0,SA,BR,BR-SP,S茫o Paulo,SIKF,
SIKH,heliport,Hotel Vit贸ria Heliport,1972.0,SA,BR,BR-SP,Indaiatuba,SIKH,
SIKI,heliport,Txai Resort Itacar茅 Heliport,26.0,SA,BR,BR-BA,Itacar茅,SIKI,
SIKJ,small_airport,Fazenda Cristalino Airport,919.0,SA,BR,BR-MT,Alta Floresta,SIKJ,
SIKK,small_airport,Calciol芒ndia Airport,2180.0,SA,BR,BR-MG,Arcos,SIKK,
SIKL,heliport,Flamboyant Heliport,2739.0,SA,BR,BR-GO,Goi芒nia,SIKL,
SIKM,small_airport,Fazenda Viam茫o Airport,863.0,SA,BR,BR-MA,Arame,SIKM,
SIKN,small_airport,Fazenda Bonanza Airport,928.0,SA,BR,BR-MA,Arame,SIKN,
SIKO,small_airport,Fazenda Pison Airport,541.0,SA,BR,BR-AM,Mau茅s,SIKO,
SIKP,small_airport,Fazenda Santa Teresa Airport,404.0,SA,BR,BR-MS,Corumb谩,SIKP,SIKP
SIKQ,small_airport,Fazenda Sama煤ma Airport,633.0,SA,BR,BR-PA,Itaituba,SIKQ,
