ident(String),type(String),name(String),elevation_ft(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String)
DRZL,small_airport,Arlit Airport,1443.0,AF,NE,NE-1,Arlit,DRZL,
DRZM,small_airport,Maine-Soroa Airport,944.0,AF,NE,NE-2,Maine-Soroa,DRZM,
DRZN,small_airport,N'Guigmi Airport,977.0,AF,NE,NE-2,N'Guigmi,DRZN,
DRZR,medium_airport,Zinder Airport,1516.0,AF,NE,NE-7,Zinder,DRZR,
DRZT,small_airport,Tanout Airport,1751.0,AF,NE,NE-7,Tanout,DRZT,
DSG,small_airport,Dilasag Airport,60.0,AS,PH,PH-AUR,Dilasag,,
DST,closed,Split Seaplane City,,EU,HR,HR-U-A,Split,LDST,
DT1,heliport,Downtown Fort Lauderdale Heliport,114.0,,US,US-FL,Fort Lauderdale,DT1,DT1
DT70,small_airport,Medenine Airport,427.0,AF,TN,TN-82,Medenine,DT70,DT70
DTG,small_airport,Dwight Airport,632.0,,US,US-IL,Dwight,KDTG,DTG
DTKA,medium_airport,Tabarka 7 Novembre Airport,230.0,AF,TN,TN-32,Tabarka,DTKA,
DTMB,medium_airport,Monastir Habib Bourguiba International Airport,9.0,AF,TN,TN-52,Monastir,DTMB,
DTTA,large_airport,Tunis Carthage International Airport,22.0,AF,TN,TN-11,Tunis,DTTA,
DTTB,medium_airport,Sidi Ahmed Air Base,20.0,AF,TN,TN-23,Sidi Ahmed,DTTB,
DTTD,medium_airport,Remada Air Base,1004.0,AF,TN,TN-83,Remada,DTTD,
DTTF,medium_airport,Gafsa Ksar International Airport,1060.0,AF,TN,TN-71,Gafsa,DTTF,
DTTG,medium_airport,Gab猫s Matmata International Airport,26.0,AF,TN,TN-81,Gab猫s,DTTG,
DTTI,small_airport,Borj El Amri Airport,110.0,AF,TN,TN-13,Borj El Amri,DTTI,
DTTJ,medium_airport,Djerba Zarzis International Airport,19.0,AF,TN,TN-82,Djerba,DTTJ,
DTTR,medium_airport,El Borma Airport,827.0,AF,TN,TN-83,El Borma,DTTR,
DTTX,medium_airport,Sfax Thyna International Airport,85.0,AF,TN,TN-61,Sfax,DTTX,
DTTZ,medium_airport,Tozeur Nefta International Airport,287.0,AF,TN,TN-72,Tozeur,DTTZ,
DVD,small_airport,Andavadoaka Airport,30.0,AF,MG,MG-U,Andavadoaka,,
DWO,seaplane_base,Diyawanna Oya Seaplane Base,10.0,AS,LK,LK-1,Kotte,,
DWR,small_airport,Dywer Airbase,2380.0,AS,AF,AF-HEL,Camp Dwyer,,
DWS,closed,Lake Buena Vista STOLport,94.0,,US,US-FL,Walt Disney World,,
DXAK,small_airport,Akpaka Airport,689.0,AF,TG,TG-P,Atakpam茅,DXAK,
DXDP,small_airport,Djangou Airport,886.0,AF,TG,TG-S,Dapaong,DXDP,
DXKP,small_airport,Kolokope Airport,591.0,AF,TG,TG-P,Ani茅,DXKP,
DXMG,small_airport,Sansann茅-Mango Airport,460.0,AF,TG,TG-S,Mango,DXMG,
DXNG,medium_airport,Niamtougou International Airport,1515.0,AF,TG,TG-K,Niamtougou,DXNG,
DXSK,small_airport,Sokod茅 Airport,1214.0,AF,TG,TG-C,Sokod茅,DXSK,
DXXX,medium_airport,Lom茅-Tokoin Airport,72.0,AF,TG,TG-M,Lom茅,DXXX,
DZ-0001,small_airport,Hamra Airport,,AF,DZ,DZ-30,Hassi Bel Guebour,,
DZ-0003,closed,Djanet,,AF,DZ,DZ-33,,,
E07,small_airport,Tatum Airport,3986.0,,US,US-NM,Tatum,18T,18T
E20,seaplane_base,Lake Berryessa Seaplane Base,440.0,,US,US-CA,Napa,E20,E20
E27,small_airport,Elk Grove Airport,54.0,,US,US-CA,Elk Grove,E27,E27
E32,small_airport,Lindrith Airpark,7202.0,,US,US-NM,Lindrith,E32,E32
E36,small_airport,Georgetown Airport,2623.0,,US,US-CA,Georgetown,E36,E36
E37,small_airport,Flying J Ranch Airport,3114.0,,US,US-AZ,Pima,E37,E37
E40,small_airport,Wilson's Airport,985.0,,US,US-NC,Hickory,E40,E40
E53,small_airport,Engler Field airport,700.0,,US,US-MI,Bad Axe,E53,E53
E55,small_airport,Ocean Ridge Airport,940.0,,US,US-CA,Gualala,E55,E55
E58,small_airport,Bird Dog Airfield,893.0,,US,US-TX,Krum,E58,E58
E61,seaplane_base,Conchas Lake Seaplane Base,4201.0,,US,US-NM,Conchas Dam,E61,E61
E66,heliport,Maple Grove Heliport,908.0,,US,US-MI,Fowlerville,E66,E66
E68,small_airport,Estrella Sailport Gliderport,1273.0,,US,US-AZ,Maricopa,E68,E68
E70,small_airport,Huber Airpark Civic Club Llc Airport,556.0,,US,US-TX,Seguin,E70,E70
E79,small_airport,Sierra Sky Park Airport,321.0,,US,US-CA,Fresno,E79,E79
E81,small_airport,Superior Municipal Airport,2646.0,,US,US-AZ,Superior,E81,E81
E85,small_airport,Denio Junction Airport,4202.0,,US,US-NV,Denio,E85,E85
E92,small_airport,Estancia Municipal Airport,6100.0,,US,US-NM,Estancia,E92,E92
E94,small_airport,Glenwood Airport,5428.0,,US,US-NM,Glenwood,,E94
EAL,small_airport,Elenak Airport,16.0,OC,MH,MH-KWA,Mejato Island,,
EBAK,closed,Kiel heliport,10.0,EU,BE,BE-VAN,Antwerpen,EBAK,
EBAL,heliport,Aalst Hospital Helistrip,,EU,BE,BE-VOV,Aalst,EBAL,
EBAM,small_airport,Amougies Airfield,49.0,EU,BE,BE-WHT,Mont-de-l'Enclus,EBAM,
EBAR,small_airport,Arlon-Sterpenich ULM,1138.0,EU,BE,BE-WLX,Arlon,EBAR,
EBAS,heliport,'s Gravenwezel heliport,20.0,EU,BE,BE-VAN,Schilde,EBAS,
EBAT,closed,Meldert heliport,131.0,EU,BE,BE-VOV,Aalst,EBAT,
EBAV,small_airport,Avernas-le-Bauduin ULM,394.0,EU,BE,BE-WLG,Hannut,EBAV,
EBAW,medium_airport,Antwerp International Airport (Deurne),39.0,EU,BE,BE-VAN,Antwerp,EBAW,
EBBA,heliport,Baudour Heliport,98.0,EU,BE,BE-WHT,Douvrain,EBBA,
EBBC,heliport,Luyckx heliport,99.0,EU,BE,BE-VAN,Brecht,EBBC,
EBBE,medium_airport,Beauvechain Air Base,370.0,EU,BE,BE-WBR,Beauvechain,EBBE,
EBBG,closed,Michamps Ulmodrome,1770.0,EU,BE,BE-WLX,Bastogne,EBBG,
EBBH,heliport,Keysers heliport,82.0,EU,BE,BE-VAN,Brecht,EBBH,
EBBL,medium_airport,Kleine Brogel Air Base,200.0,EU,BE,BE-VLI,Kleine Brogel,EBBL,
EBBM,heliport,Brakel/Michelbeke Heliport,,EU,BE,BE-VOV,Michelbeke,EBBM,
EBBN,small_airport,B眉llingen ULM,2067.0,EU,BE,BE-WLG,B眉llingen,EBBN,
EBBO,closed,Mogimont Ulmodrome,1394.0,EU,BE,BE-WLX,Bouillon,EBBO,
EBBR,large_airport,Brussels Airport,184.0,EU,BE,BE-BRU,Brussels,EBBR,
EBBT,small_airport,Brasschaat Airfield,76.0,EU,BE,BE-VAN,Brasschaat,EBBT,
EBBW,closed,Bassenge-Wonck ULM,367.0,EU,BE,BE-WLG,Bassenge,EBBW,
EBBX,small_airport,Jehonville Air Base,1514.0,EU,BE,BE-WLX,Bertrix,EBBX,
EBBY,small_airport,Baisy-Thy ULM,525.0,EU,BE,BE-WBR,Genappe,EBBY,
EBBZ,small_airport,Buzet ULM,522.0,EU,BE,BE-WHT,Pont-A-Celles,EBBZ,
EBCF,small_airport,Cerfontaine Airfield,961.0,EU,BE,BE-WNA,Cerfontaine,EBCF,
EBCH,closed,Casteau / SHAPE Helipad,287.0,EU,BE,BE-WHT,Mons,EBCT,
EBCI,large_airport,Brussels South Charleroi Airport,614.0,EU,BE,BE-WHT,Brussels,EBCI,
EBCR,closed,Chimay-Ronvaux Ulmodrome,1076.0,EU,BE,BE-WNA,Ciney,EBCR,
EBCS,closed,Saint-Remy ULM,820.0,EU,BE,BE-WHT,Chimay,EBCS,
EBCV,medium_airport,Chi猫vres Air Base,194.0,EU,BE,BE-WHT,Chi猫vres,EBCV,
EBDI,heliport,Diksmuide heliport,13.0,EU,BE,BE-VWV,Diksmuide,EBDI,
EBDL,closed,Lanklaar heliport,131.0,EU,BE,BE-VLI,Dilsen-Stokkem,EBDL,
EBDR,heliport,Antwerp/Commandant Fourcault Heliport,,EU,BE,BE-VAN,Antwerp,EBDR,
EBDT,small_airport,Schaffen Airfield,100.0,EU,BE,BE-VBR,Diest,EBDT,
EBDW,closed,Webbekom heliport,130.0,EU,BE,BE-VBR,Diest,EBDW,
EBEB,heliport,Evergem / Belzele Heliport,27.0,EU,BE,BE-VOV,Evergem,EBEB,
EBEH,seaplane_base,Hydrobase de l'Eau d'Heure,810.0,EU,BE,BE-WNA,,EBEH,
EBEN,heliport,Engels heliport,33.0,EU,BE,BE-VAN,Ranst,EBEN,
EBEU,heliport,UZA heliport,46.0,EU,BE,BE-VAN,Edegem,EBEU,
EBFD,closed,Dompire heliport,607.0,EU,BE,BE-WNA,Fernelmont,EBFD,
EBFN,medium_airport,Koksijde Air Base,20.0,EU,BE,BE-VWV,Koksijde,EBFN,
EBFR,heliport,Francorchamps heliport,1575.0,EU,BE,BE-WLG,Francorchamps,EBFR,
EBFS,medium_airport,Florennes Air Base,935.0,EU,BE,BE-WNA,Florennes,EBFS,
EBGA,heliport,UZ Leuven Hospital Heliport,,EU,BE,BE-VBR,Leuven,EBGA,
EBGB,small_airport,Grimbergen Airfield,70.0,EU,BE,BE-VBR,Grimbergen,EBGB,
EBGE,heliport,Grand H么pital de Charleroi (GHDC Asbl) Heliport,,EU,BE,BE-WHT,Loverval,EBGE,
EBGG,small_airport,Overboelare Airfield,56.0,EU,BE,BE-VOV,Geraardsbergen,EBGG,
EBGL,closed,CRC Glons Heliport,438.0,EU,BE,BE-WLG,Bassenge,EBGL,
EBGT,heliport,UZ Gent heliport,26.0,EU,BE,BE-VOV,Gent,EBGT,
EBHA,heliport,Ham heliport,98.0,EU,BE,BE-VLI,Ham,EBHA,
EBHE,closed,H茅ron-Couthuin Ulmodrome,607.0,EU,BE,BE-WLG,H茅ron,EBHE,
EBHL,heliport,Halen heliport,121.0,EU,BE,BE-VLI,Halen,EBHL,
EBHM,heliport,Maasland heliport,164.0,EU,BE,BE-VLI,Hasselt,EBHM,
EBHN,small_airport,Hoevenen Airfield,10.0,EU,BE,BE-VAN,Hoevenen,EBHN,
EBHO,heliport,Holsbeek heliport,82.0,EU,BE,BE-VBR,Holsbeek,EBHO,
EBHT,heliport,Houthalen heliport,164.0,EU,BE,BE-VLI,Houthalen,EBHT,
EBIS,small_airport,Ath/Isieres Ulmodrome,98.0,EU,BE,BE-WHT,Isieres,EBIS,
EBKH,small_airport,Balen-Keiheuvel Airfield,131.0,EU,BE,BE-VAN,Balen,EBKH,
EBKR,heliport,Kruishoutem / SONS Heliport,198.0,EU,BE,BE-VOV,Kruishoutem,EBKR,
EBKT,medium_airport,Wevelgem Airport,64.0,EU,BE,BE-VWV,Wevelgem,EBKT,
EBKU,closed,Kuurne Heliport,47.0,EU,BE,BE-VWV,Kuurne,EBKU,
EBKW,heliport,Westkapelle heliport,10.0,EU,BE,BE-VWV,Knokke-Heist,EBKW,
EBLB,closed,Elsenborn Air Base,1830.0,EU,BE,BE-WLG,B眉tgenbach,EBLB,
EBLC,heliport,Citadelle heliport,531.0,EU,BE,BE-WLG,Li猫ge,EBLC,
EBLE,small_airport,Leopoldsburg Airfield,207.0,EU,BE,BE-VLI,Leopoldsburg,EBLE,
EBLG,large_airport,Li猫ge Airport,659.0,EU,BE,BE-WLG,Li猫ge,EBLG,
EBLI,closed,Lierneux ULM,1411.0,EU,BE,BE-WLG,Lierneux,EBLI,
EBLM,heliport,Meulebeke Heliport,,EU,BE,BE-VWV,Meulebeke,EBLM,
EBLN,small_airport,Liernu ULM,564.0,EU,BE,BE-WNA,Eghez茅e,EBLN,
EBLO,closed,Orban heliport,160.0,EU,BE,BE-WLG,Li猫ge,EBLO,
EBLR,heliport,Reninge heliport,25.0,EU,BE,BE-VWV,Lo-Reninge,EBLR,
EBLS,heliport,Sart Tilman heliport,771.0,EU,BE,BE-WLG,Li猫ge,EBLS,
EBLU,heliport,Lummen heliport,141.0,EU,BE,BE-VLI,Lummen,EBLU,
EBLY,heliport,Ranst/Lymar Heliport,,EU,BE,BE-VAN,Ranst,EBLY,
EBLZ,closed,Zaffelare heliport,26.0,EU,BE,BE-VOV,Lochristi,EBLZ,
EBMA,closed,Westmalle heliport,88.0,EU,BE,BE-VAN,Malle,EBMA,
EBMB,small_airport,Melsbroek Air Base,98.0,EU,BE,BE-VBR,Melsbroek (Steenokkerzeel),EBMB,
EBMD,heliport,AZ Middelheim heliport,46.0,EU,BE,BE-VAN,Antwerpen,EBMD,
EBME,heliport,Meerbeek heliport,214.0,EU,BE,BE-VBR,Meerbeek,EBME,
EBMG,small_airport,Matagne-la-Petite Ulmodrome,787.0,EU,BE,BE-WNA,Doische,EBMG,
EBML,small_airport,Maillen Ulmodrome,886.0,EU,BE,BE-WNA,Assesse,EBML,
EBMO,small_airport,Moorsele Airfield,66.0,EU,BE,BE-VWV,Moorsele,EBMO,
EBMS,heliport,Bra heliport,1230.0,EU,BE,BE-WLG,Lierneu,EBMS,
EBMT,heliport,Montigny-Le-Tilleul heliport,656.0,EU,BE,BE-WHT,Montigny-Le-Tilleul,EBMT,
EBMW,heliport,Meise/Wolvertem Heliport,,EU,BE,BE-VBR,Meise,EBMW,
EBNE,small_airport,Neerpelt ULM,148.0,EU,BE,BE-VLI,Neerpelt,EBNE,
EBNH,heliport,Oostende heliport,13.0,EU,BE,BE-VWV,Oostende,EBNH,
EBNK,heliport,Nokere/Suys Heliport,,EU,BE,BE-VOV,Nokere,EBNK,
EBNL,heliport,Nijlen Heliport,21.0,EU,BE,BE-VAN,Nijlen,EBNL,
EBNM,small_airport,Namur-Suarl茅e Airfield,594.0,EU,BE,BE-WNA,Namur,EBNM,
EBNO,closed,Outer ULM,151.0,EU,BE,BE-VOV,Ninove,EBNO,
EBO,small_airport,Ebon Airport,8.0,OC,MH,MH-EBO,Ebon Atoll,,
EBOB,heliport,Oud-Heverlee/Blanden Heliport,,EU,BE,BE-VBR,Oud-Heverlee,EBOB,
EBOO,heliport,Oostdijckbank platform heliport,69.0,EU,BE,BE-VWV,Oostdijckbank,EBOO,
EBOR,small_airport,Orchimont Ulmodrome,1312.0,EU,BE,BE-WNA,Vresse-Sur-Semois,EBOR,
EBOS,medium_airport,Ostend-Bruges International Airport,13.0,EU,BE,BE-VWV,Ostend,EBOS,
EBOT,closed,Oud-Turnhout,,EU,BE,BE-VAN,,EBOT,
EBPW,heliport,Warcoing heliport,120.0,EU,BE,BE-WHT,Pecq,EBPW,
EBRB,closed,Beveren heliport,84.0,EU,BE,BE-VWV,Roeselare,EBRB,
EBRO,heliport,Van Den Bosch heliport,33.0,EU,BE,BE-VAN,Ranst,EBRO,
EBRR,heliport,Rumbeke heliport,79.0,EU,BE,BE-VWV,Roeselare,EBRR,
EBSG,small_airport,Saint-Ghislain Airfield,75.0,EU,BE,BE-WHT,Saint Ghislain,EBSG,
EBSH,small_airport,St Hubert Airfield,1930.0,EU,BE,BE-WLX,Saint Hubert,EBSH,
EBSJ,heliport,Az Sint-Jan Heliport,20.0,EU,BE,BE-VWV,Bruges,EBSJ,
EBSL,small_airport,Zutendaal Air Base,312.0,EU,BE,BE-VLI,Zutendaal,EBSL,
EBSN,closed,'S Gravenvoeren heliport,394.0,EU,BE,BE-WLG,'S Gravenvoeren,EBSN,
EBSP,small_airport,Spa (la Sauveni猫re) Airfield,1581.0,EU,BE,BE-WLG,Spa,EBSP,
EBSS,heliport,Sint-Lucas heliport,16.0,EU,BE,BE-VWV,Brugge,EBSS,
EBST,small_airport,Brustem Airfield Sint Truiden,246.0,EU,BE,BE-VLI,Sint Truiden,EBST,
EBSU,small_airport,Saint Hubert Air Base,1930.0,EU,BE,BE-WLX,Saint Hubert,EBSU,
EBSW,heliport,Sint-Pieters-Leeuw heliport,197.0,EU,BE,BE-VBR,Sint-Pieters-Leeuw,EBSW,
EBTE,closed,Temse heliport,30.0,EU,BE,BE-VOV,Temse,EBTE,
EBTK,heliport,Kasterlee heliport,80.0,EU,BE,BE-VAN,Tielen,EBTK,
EBTN,small_airport,Goetsenhoven Air Base,246.0,EU,BE,BE-VBR,Tienen,EBTN,
EBTR,closed,Trazegnies heliport,574.0,EU,BE,BE-WHT,Trazegnies,EBTR,
EBTX,small_airport,Theux (Verviers) Airfield,1099.0,EU,BE,BE-WLG,Verviers,EBTX,
EBTY,small_airport,Tournai/Maubray Glider Field,161.0,EU,BE,BE-WHT,Tournai,EBTY,
EBUB,heliport,ULB heliport,108.0,EU,BE,BE-BRU,Brussels,EBUB,
EBUC,heliport,UCL heliport,230.0,EU,BE,BE-BRU,Brussels,EBUC,
EBUL,small_airport,Ursel Air Base,95.0,EU,BE,BE-VOV,Ursel,EBUL,
EBVE,heliport,Veurne heliport,82.0,EU,BE,BE-VWV,Veurne,EBVE,
EBVN,heliport,Vlimmeren Heliport,76.0,EU,BE,BE-VAN,Vlimmeren,EBVN,
EBVS,heliport,Sint-Augustinus heliport,13.0,EU,BE,BE-VWV,Veurne,EBVS,
EBVU,heliport,Rotselaar heliport,30.0,EU,BE,BE-VBR,Rotselaar,EBVU,
EBWA,heliport,Waasmunster Heliport,,EU,BE,BE-VOV,Waasmunster,EBWA,
EBWE,small_airport,Weelde Air Base,105.0,EU,BE,BE-VAN,Weelde,EBWE,
EBWI,heliport,Wingene Heliport,,EU,BE,BE-VWV,Wingene,EBWI,
EBWZ,heliport,Wingene/Zwevezele Heliport,,EU,BE,BE-VWV,Wingene,EBWZ,
EBYP,heliport,Regionaal Ziekenhuis Jan Yperman VZW Hospital Heliport,,EU,BE,BE-VWV,Ypres,EBYP,
EBZH,small_airport,Kiewit Airfield Hasselt,141.0,EU,BE,BE-VLI,Hasselt,EBZH,
EBZI,heliport,Zingem heliport,30.0,EU,BE,BE-VOV,Zingem,EBZI,
EBZM,closed,Oombergen Airfield,240.0,EU,BE,BE-VOV,Zottegem,EBZM,
EBZO,heliport,Zandvoorde heliport,102.0,EU,BE,BE-VWV,Zonnebeke,EBZO,
EBZR,small_airport,Zoersel (Oostmalle) Airfield,53.0,EU,BE,BE-VAN,Zoersel,EBZR,
EBZU,small_airport,Zuienkerke ULM,16.0,EU,BE,BE-VWV,Zuienkerke,EBZU,
EBZW,small_airport,Genk Zwartberg Airfield,278.0,EU,BE,BE-VLI,Genk,EBZW,
EC-0001,small_airport,Carabon Airport,126.0,SA,EC,EC-O,Carabon,,
EC-0002,closed,USAAFB Baltra,,SA,EC,EC-W,,,
EC-0003,small_airport,Coronel Artilleria Victor Larrea Airport,170.0,SA,EC,EC-O,Santa Rosa,,
EC-0004,small_airport,Nuevo Rocafuerte Airstrip,,SA,EC,EC-D,Nuevo Rocafuerte,,
EC-0005,small_airport,Ayamu Airstrip,,SA,EC,EC-Y,Ayamu,,
EC-0006,small_airport,Pavacachi Airstrip,,SA,EC,EC-Y,Pavacachi,,
EC-0007,small_airport,Shivacocha Airstrip,,SA,EC,EC-Y,Shivacocha,,
EC-0008,small_airport,Taracoa Airstrip,,SA,EC,EC-Y,Taracoa,,
EC-0009,small_airport,Yuca Life Airstrip,,SA,EC,EC-Y,,,
EC-0010,small_airport,Pacayacu Airstrip,,SA,EC,EC-Y,Pacayacu,,
EC-0011,small_airport,Sarayaku Airstrip,,SA,EC,EC-Y,Sarayaku,,
EC-0012,small_airport,Teresa Mama Airstrip,,SA,EC,EC-Y,Teresa Mama,,
EC-0013,small_airport,Huito Molino Airstrip,,SA,EC,EC-Y,Huito Molino,,
EC-0014,small_airport,Macuma Airstrip,,SA,EC,EC-S,Macuma,,
EC-0015,small_airport,Chichirata Airstrip,,SA,EC,EC-Y,Chichirata,,
EC-0016,small_airport,Andoas Airstrip,,SA,EC,EC-Y,Andoas,,
EC-0017,small_airport,Huasaga Airstrip,,SA,EC,EC-S,Huasaga,,
EC-0018,small_airport,Villano Airstrip,,SA,EC,EC-Y,Villano,,
EC-0019,small_airport,Santa Rosa 2 Airstrip,,SA,EC,EC-S,,,
EC-0020,small_airport,Yuwints Airstrip,,SA,EC,EC-S,Yuwints,,
EC-0021,small_airport,Ayuy Airstrip,,SA,EC,EC-S,Ayuy,,
EC-0022,small_airport,Copataza Airstrip,,SA,EC,EC-Y,Copataza,,
EC-0023,small_airport,Jimbiquiti Airstrip,,SA,EC,EC-Y,Jimbiquiti,,
EC-0024,small_airport,Jibar铆a A帽angu Airstrip,,SA,EC,EC-Y,Jibar铆a A帽angu,,
EC-0025,small_airport,Capauari Airstrip,,SA,EC,EC-Y,Capauari,,
EC-0026,small_airport,Cotosaz Airstrip,,SA,EC,EC-Y,Cotosaz,,
EC-0027,small_airport,Tutaguana Airstrip,,SA,EC,EC-Y,Tutaguana,,
EC-0028,small_airport,Yaupi Airstrip,,SA,EC,EC-S,Yaupi,,
EC-0029,small_airport,Wasakentza Airstrip,,SA,EC,EC-S,Wasakentza,,
EC-0030,small_airport,Wampuik Airstrip,,SA,EC,EC-S,Wampuik,,
EC-0031,small_airport,Tambo Borja Airstrip,,SA,EC,EC-Y,Tambo Borja,,
EC-0032,small_airport,Tambo Airstrip,,SA,EC,EC-Y,Tambo,,
EC-0033,small_airport,Caba帽a Yasuni Airstrip,,SA,EC,EC-Y,,,
EC-0034,small_airport,Kapawi Ecolodge Airstrip,,SA,EC,EC-Y,,,
EC-MZD,small_airport,M茅ndez Airport,1770.0,SA,EC,EC-S,Santiago de M茅ndez,,
EDA,seaplane_base,Edna Bay Seaplane Base,0.0,,US,US-AK,Edna Bay,,
EDAB,small_airport,Flugplatz Bautzen,568.0,EU,DE,DE-SN,Bautzen,EDAB,
EDAC,medium_airport,Altenburg-Nobitz Airport,640.0,EU,DE,DE-TH,Altenburg,EDAC,
EDAD,small_airport,Dessau Airfield,187.0,EU,DE,DE-ST,Dessau,EDAD,
EDAE,small_airport,Eisenh眉ttenstadt Airfield,144.0,EU,DE,DE-BR,Eisenh眉ttenstadt,EDAE,
EDAG,small_airport,Gro脽r眉ckerswalde Airport,2198.0,EU,DE,DE-SN,Marienberg,EDAG,
EDAH,medium_airport,Heringsdorf Airport,93.0,EU,DE,DE-MV,Heringsdorf,EDAH,
EDAI,small_airport,Segeletz Airport,141.0,EU,DE,DE-BR,Neustadt,EDAI,
EDAJ,small_airport,Gera-Leumnitz Airfield,1014.0,EU,DE,DE-TH,Gera,EDAJ,
EDAK,small_airport,Gro脽enhain Airport,417.0,EU,DE,DE-SN,Gro脽enhain,EDAK,
EDAL,closed,Fuerstenwalde Airport,184.0,EU,DE,DE-BR,,EDAL,
EDAM,small_airport,Merseburg Airport,341.0,EU,DE,DE-ST,Merseburg,EDAM,
EDAN,small_airport,Neustadt-Glewe Airport,115.0,EU,DE,DE-MV,Neustadt-Glewe,EDAN,
EDAO,small_airport,Nordhausen Airport,689.0,EU,DE,DE-TH,Nordhausen,EDAO,
EDAP,small_airport,Neuhausen Airport,279.0,EU,DE,DE-BR,Cottbus,EDAP,
EDAQ,small_airport,Halle-Oppin Airport,348.0,EU,DE,DE-ST,Oppin,EDAQ,
EDAR,small_airport,Pirna-Pratzschwitz Airport,400.0,EU,DE,DE-SN,Pirna,EDAR,
EDAS,small_airport,Flugplatz Finsterwalde/Heinrichsruh,384.0,EU,DE,DE-BR,Finsterwalde,EDAS,
EDAT,small_airport,Nardt Airfield,384.0,EU,DE,DE-SN,Hoyerswerda,EDAT,
EDAU,small_airport,Riesa-G枚hlis Airport,322.0,EU,DE,DE-SN,Riesa,EDAU,
EDAV,small_airport,Eberswalde-Finow Airport,121.0,EU,DE,DE-BR,Eberswalde,EDAV,
EDAW,small_airport,Roitzschjora Airfield,289.0,EU,DE,DE-SN,Roitzschjora,EDAW,
EDAX,small_airport,Rechlin-L盲rz Airport,220.0,EU,DE,DE-MV,L盲rz,EDAX,
EDAY,small_airport,Strausberg Airport,262.0,EU,DE,DE-BR,Strausberg,EDAY,
EDAZ,small_airport,Sch枚nhagen Airport,152.0,EU,DE,DE-BR,Sch枚nhagen,EDAZ,
EDBA,small_airport,Arnstadt-Alkersleben Airport,1145.0,EU,DE,DE-TH,W眉lfershausen,EDBA,
EDBC,small_airport,Cochstedt Airport,594.0,EU,DE,DE-ST,Magdeburg,EDBC,
EDBD,closed,Emmel Airfield Dedelow Airport,213.0,EU,DE,DE-BR,Prenzlau,EDBD,
EDBE,small_airport,Brandenburg-M眉hlenfeld Airport,98.0,EU,DE,DE-BR,Brandenburg an der Havel,EDBE,
EDBF,small_airport,Ruppiner Land Airport,138.0,EU,DE,DE-BR,Fehrbellin,EDBF,
EDBG,small_airport,Burg Airport,174.0,EU,DE,DE-ST,Burg,EDBG,
EDBH,small_airport,Barth Airport,23.0,EU,DE,DE-MV,,EDBH,
EDBI,small_airport,Zwickau Airport,1050.0,EU,DE,DE-SN,Zwickau,EDBI,
EDBJ,small_airport,Jena-Sch枚ngleina Airfield,1247.0,EU,DE,DE-TH,Jena,EDBJ,
EDBK,small_airport,Kyritz Airport,131.0,EU,DE,DE-BR,Kyritz,EDBK,
EDBL,small_airport,Laucha Airport,738.0,EU,DE,DE-ST,Laucha an der Unstrut,EDBL,
EDBM,medium_airport,Magdeburg "City" Airport,259.0,EU,DE,DE-ST,Magdeburg,EDBM,
EDBN,medium_airport,Neubrandenburg Airport,228.0,EU,DE,DE-MV,Neubrandenburg,EDBN,
EDBO,small_airport,Oehna Airport,289.0,EU,DE,DE-BR,Zellendorf,EDBO,
EDBP,small_airport,Pinnow Airport,144.0,EU,DE,DE-MV,Pinnow,EDBP,
EDBQ,small_airport,Bronkow Airport,423.0,EU,DE,DE-BR,Bronkow,EDBQ,
EDBR,medium_airport,Rothenburg/G枚rlitz Airport,518.0,EU,DE,DE-SN,Rothenburg/Oberlausitz,EDBR,
EDBS,small_airport,S枚mmerda-Dermsdorf Airport,453.0,EU,DE,DE-TH,K枚lleda,EDBS,
EDBT,small_airport,Allstedt Airport,932.0,EU,DE,DE-ST,Allstedt,EDBT,
EDBU,small_airport,Pritzwalk-Sommersberg Airport,289.0,EU,DE,DE-BR,Pritzwalk,EDBU,
EDBV,small_airport,Stralsund Airport,49.0,EU,DE,DE-MV,Stralsund,EDBV,
EDBW,small_airport,Werneuchen Airfield,262.0,EU,DE,DE-BR,Werneuchen,EDBW,
EDBX,small_airport,G枚rlitz Airport,778.0,EU,DE,DE-SN,G枚rlitz,EDBX,
EDBY,small_airport,Schmoldow Airport,105.0,EU,DE,DE-MV,Schmoldow,EDBY,
EDBZ,small_airport,Schwarzheide/Schipkau Airport,331.0,EU,DE,DE-BR,Schwarzheide,EDBZ,
EDCA,small_airport,Anklam Airfield,16.0,EU,DE,DE-MV,Anklam,EDCA,
EDCB,small_airport,Flugplatz Ballenstedt,535.0,EU,DE,DE-ST,Ballenstedt,EDCB,
EDCD,medium_airport,Cottbus-Drewitz Airport,272.0,EU,DE,DE-BR,Cottbus,EDCD,
EDCE,small_airport,Eggersdorf Airport,223.0,EU,DE,DE-BR,Eggersdorf,EDCE,
EDCF,small_airport,Friedersdorf Airport,115.0,EU,DE,DE-BR,,EDCF,
EDCG,small_airport,Flugplatz G眉ttin / R眉gen,69.0,EU,DE,DE-MV,R眉gen,EDCG,
EDCH,small_airport,Flugplatz Sprossen (Zeitz),673.0,EU,DE,DE-ST,Sprossen,EDCH,
EDCI,small_airport,Flugplatz Klix,486.0,EU,DE,DE-SN,Bautzen,EDCI,
